"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"2000"	"2000"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	185	173313	106.7	91.4	122.1	7.8	0.0%
	"Alabama"	"01"	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	125	34258	364.9	300.9	428.8	32.6	0.0%
	"Alabama"	"01"	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	466	160461	290.4	264.0	316.8	13.5	0.0%
	"Alabama"	"01"	"2000"	"2000"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	164	35537	461.5	390.9	532.1	36.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	433	139993	309.3	280.2	338.4	14.9	0.0%
	"Alabama"	"01"	"2000"	"2000"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	178	23525	756.6	645.5	867.8	56.7	0.0%
	"Alabama"	"01"	"2000"	"2000"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	781	115670	675.2	627.8	722.6	24.2	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	214	23384	915.2	792.5	1037.8	62.6	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	941	98444	955.9	894.8	1016.9	31.2	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	165	12549	1314.8	1114.2	1515.5	102.4	0.0%
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	1001	60673	1649.8	1547.6	1752.0	52.1	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	245	10878	2252.3	1970.2	2534.3	143.9	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	1163	38326	3034.5	2860.1	3208.9	89.0	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	114	4100	2780.5	2270.1	3290.9	260.4	0.0%
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	542	13808	3925.3	3594.8	4255.7	168.6	0.0%
	"Alabama"	"01"	"2001"	"2001"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	15	213390	Unreliable	3.9	11.6	1.8	0.0%
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	19	95535	Unreliable	12.0	31.1	4.6	0.0%
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	29	245601	11.8	7.9	17.0	2.2	0.0%
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	40	78496	51.0	36.4	69.4	8.1	0.0%
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	89	247372	36.0	28.9	44.3	3.8	0.0%
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	47	80051	58.7	43.1	78.1	8.6	0.0%
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	91	235076	38.7	31.2	47.5	4.1	0.0%
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	101	68049	148.4	119.5	177.4	14.8	0.0%
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	275	231429	118.8	104.8	132.9	7.2	0.0%
	"Alabama"	"01"	"2001"	"2001"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	73	44435	164.3	128.8	206.6	19.2	0.0%
	"Alabama"	"01"	"2001"	"2001"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	190	176604	107.6	92.3	122.9	7.8	0.0%
	"Alabama"	"01"	"2001"	"2001"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	120	35458	338.4	277.9	399.0	30.9	0.0%
	"Alabama"	"01"	"2001"	"2001"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	448	163845	273.4	248.1	298.7	12.9	0.0%
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	147	35551	413.5	346.6	480.3	34.1	0.0%
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	419	139783	299.8	271.0	328.5	14.6	0.0%
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	161	23855	674.9	570.7	779.2	53.2	0.0%
	"Alabama"	"01"	"2001"	"2001"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	715	116912	611.6	566.7	656.4	22.9	0.0%
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	194	23660	819.9	704.6	935.3	58.9	0.0%
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	826	99407	830.9	774.3	887.6	28.9	0.0%
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	144	12708	1133.1	948.1	1318.2	94.4	0.0%
	"Alabama"	"01"	"2001"	"2001"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	887	62100	1428.3	1334.3	1522.3	48.0	0.0%
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	254	10521	2414.2	2117.3	2711.1	151.5	0.0%
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	1140	38232	2981.8	2808.7	3154.9	88.3	0.0%
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	126	3887	3241.6	2675.6	3807.6	288.8	0.0%
	"Alabama"	"01"	"2001"	"2001"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	498	14090	3534.4	3224.0	3844.8	158.4	0.0%
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	17	210711	Unreliable	4.7	12.9	2.0	0.0%
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	21	93778	22.4	13.9	34.2	4.9	0.0%
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	33	241173	13.7	9.4	19.2	2.4	0.0%
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	29	76959	37.7	25.2	54.1	7.0	0.0%
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	109	242919	44.9	36.4	53.3	4.3	0.0%
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	50	83498	59.9	44.4	78.9	8.5	0.0%
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	72	235189	30.6	24.0	38.6	3.6	0.0%
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	104	70417	147.7	119.3	176.1	14.5	0.0%
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	256	231551	110.6	97.0	124.1	6.9	0.0%
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	78	46285	168.5	133.2	210.3	19.1	0.0%
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	195	185439	105.2	90.4	119.9	7.5	0.0%
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	121	37586	321.9	264.6	379.3	29.3	0.0%
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	454	172968	262.5	238.3	286.6	12.3	0.0%
	"Alabama"	"01"	"2002"	"2002"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	126	35403	355.9	293.8	418.0	31.7	0.0%
	"Alabama"	"01"	"2002"	"2002"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	356	139404	255.4	228.8	281.9	13.5	0.0%
	"Alabama"	"01"	"2002"	"2002"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	164	24042	682.1	577.7	786.5	53.3	0.0%
	"Alabama"	"01"	"2002"	"2002"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	670	117297	571.2	527.9	614.5	22.1	0.0%
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	197	23786	828.2	712.6	943.9	59.0	0.0%
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	790	99891	790.9	735.7	846.0	28.1	0.0%
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	159	12680	1253.9	1059.0	1448.9	99.4	0.0%
	"Alabama"	"01"	"2002"	"2002"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	884	63518	1391.7	1300.0	1483.5	46.8	0.0%
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	277	10191	2718.1	2398.0	3038.2	163.3	0.0%
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	1104	38054	2901.1	2730.0	3072.3	87.3	0.0%
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	91	3708	2454.2	1975.9	3013.2	257.3	0.0%
	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	506	14261	3548.1	3239.0	3857.3	157.7	0.0%
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	19	209596	Unreliable	5.5	14.2	2.1	0.0%
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	12	92346	Unreliable	6.7	22.7	3.8	0.0%
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	31	236690	13.1	8.9	18.6	2.4	0.0%
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	33	75620	43.6	30.0	61.3	7.6	0.0%
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	106	239017	44.3	35.9	52.8	4.3	0.0%
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	56	86382	64.8	49.0	84.2	8.7	0.0%
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	66	236986	27.8	21.5	35.4	3.4	0.0%
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	93	72746	127.8	103.2	156.6	13.3	0.0%
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	258	233545	110.5	97.0	124.0	6.9	0.0%
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	59	48460	121.7	92.7	157.0	15.9	0.0%
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	183	191883	95.4	81.6	109.2	7.0	0.0%
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	121	39909	303.2	249.2	357.2	27.6	0.0%
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	416	179694	231.5	209.3	253.8	11.4	0.0%
	"Alabama"	"01"	"2003"	"2003"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	116	35329	328.3	268.6	388.1	30.5	0.0%
	"Alabama"	"01"	"2003"	"2003"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	376	140055	268.5	241.3	295.6	13.8	0.0%
	"Alabama"	"01"	"2003"	"2003"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	155	24399	635.3	535.3	735.3	51.0	0.0%
	"Alabama"	"01"	"2003"	"2003"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	597	118678	503.0	462.7	543.4	20.6	0.0%
	"Alabama"	"01"	"2003"	"2003"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	185	24165	765.6	655.2	875.9	56.3	0.0%
	"Alabama"	"01"	"2003"	"2003"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	784	101121	775.3	721.0	829.6	27.7	0.0%
	"Alabama"	"01"	"2003"	"2003"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	166	12620	1315.4	1115.3	1515.5	102.1	0.0%
	"Alabama"	"01"	"2003"	"2003"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	884	65000	1360.0	1270.3	1449.7	45.7	0.0%
	"Alabama"	"01"	"2003"	"2003"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	219	9671	2264.5	1964.6	2564.4	153.0	0.0%
	"Alabama"	"01"	"2003"	"2003"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	1017	37711	2696.8	2531.1	2862.6	84.6	0.0%
	"Alabama"	"01"	"2003"	"2003"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	107	3438	3112.3	2522.6	3702.0	300.9	0.0%
	"Alabama"	"01"	"2003"	"2003"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	505	14522	3477.5	3174.2	3780.8	154.7	0.0%
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	18	207886	Unreliable	5.1	13.7	2.0	0.0%
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	15	90929	Unreliable	9.2	27.2	4.3	0.0%
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	34	233451	14.6	10.1	20.4	2.5	0.0%
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	23	74562	30.8	19.6	46.3	6.4	0.0%
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	93	236652	39.3	31.7	48.1	4.1	0.0%
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	52	88895	58.5	43.7	76.7	8.1	0.0%
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	76	239477	31.7	25.0	39.7	3.6	0.0%
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	96	74432	129.0	104.5	157.5	13.2	0.0%
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	247	235425	104.9	91.8	118.0	6.7	0.0%
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	71	51817	137.0	107.0	172.8	16.3	0.0%
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	169	198134	85.3	72.4	98.2	6.6	0.0%
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	116	42704	271.6	222.2	321.1	25.2	0.0%
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	402	186490	215.6	194.5	236.6	10.8	0.0%
	"Alabama"	"01"	"2004"	"2004"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	110	35241	312.1	253.8	370.5	29.8	0.0%
	"Alabama"	"01"	"2004"	"2004"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	305	141161	216.1	191.8	240.3	12.4	0.0%
	"Alabama"	"01"	"2004"	"2004"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	132	24646	535.6	444.2	627.0	46.6	0.0%
	"Alabama"	"01"	"2004"	"2004"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	616	120022	513.2	472.7	553.8	20.7	0.0%
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	180	24033	749.0	639.6	858.4	55.8	0.0%
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	749	101199	740.1	687.1	793.1	27.0	0.0%
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	153	12454	1228.5	1033.9	1423.2	99.3	0.0%
	"Alabama"	"01"	"2004"	"2004"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	873	65897	1324.8	1236.9	1412.7	44.8	0.0%
	"Alabama"	"01"	"2004"	"2004"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	246	9482	2594.4	2270.2	2918.6	165.4	0.0%
	"Alabama"	"01"	"2004"	"2004"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	931	37560	2478.7	2319.5	2637.9	81.2	0.0%
	"Alabama"	"01"	"2004"	"2004"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	90	3389	2655.7	2135.5	3264.2	279.9	0.0%
	"Alabama"	"01"	"2004"	"2004"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	462	14838	3113.6	2829.7	3397.6	144.9	0.0%
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	19	90180	Unreliable	12.7	32.9	4.8	0.0%
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	27	231670	11.7	7.7	17.0	2.2	0.0%
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	34	73733	46.1	31.9	64.4	7.9	0.0%
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	63	234481	26.9	20.6	34.4	3.4	0.0%
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	39	90948	42.9	30.5	58.6	6.9	0.0%
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	96	242281	39.6	32.1	48.4	4.0	0.0%
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	81	76299	106.2	84.3	131.9	11.8	0.0%
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	228	238988	95.4	83.0	107.8	6.3	0.0%
	"Alabama"	"01"	"2005"	"2005"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	77	55131	139.7	110.2	174.6	15.9	0.0%
	"Alabama"	"01"	"2005"	"2005"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	179	204396	87.6	74.7	100.4	6.5	0.0%
	"Alabama"	"01"	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	122	45818	266.3	219.0	313.5	24.1	0.0%
