"","Region","Search_Term_Value","Year","Search_Term"
"104","Vermont",83,"2006","Alcohol"
"105","Delaware",81,"2006","Alcohol"
"106","Alaska",81,"2006","Alcohol"
"107","South Dakota",77,"2006","Alcohol"
"108","Montana",76,"2006","Alcohol"
"109","Iowa",70,"2006","Alcohol"
"110","Rhode Island",69,"2006","Alcohol"
"111","New Mexico",68,"2006","Alcohol"
"112","Pennsylvania",67,"2006","Alcohol"
"113","Kentucky",67,"2006","Alcohol"
"114","West Virginia",66,"2006","Alcohol"
"115","Maine",66,"2006","Alcohol"
"116","Michigan",66,"2006","Alcohol"
"117","Indiana",65,"2006","Alcohol"
"118","New Hampshire",63,"2006","Alcohol"
"119","Washington",62,"2006","Alcohol"
"120","Wisconsin",62,"2006","Alcohol"
"121","Wyoming",62,"2006","Alcohol"
"122","Nebraska",61,"2006","Alcohol"
"123","Idaho",61,"2006","Alcohol"
"124","Kansas",61,"2006","Alcohol"
"125","Ohio",61,"2006","Alcohol"
"126","North Carolina",60,"2006","Alcohol"
"127","Arkansas",60,"2006","Alcohol"
"128","Massachusetts",60,"2006","Alcohol"
"129","Mississippi",59,"2006","Alcohol"
"130","Minnesota",59,"2006","Alcohol"
"131","Oregon",58,"2006","Alcohol"
"132","Connecticut",58,"2006","Alcohol"
"133","Louisiana",58,"2006","Alcohol"
"134","Oklahoma",58,"2006","Alcohol"
"135","South Carolina",57,"2006","Alcohol"
"136","Virginia",56,"2006","Alcohol"
"137","Illinois",56,"2006","Alcohol"
"138","Colorado",55,"2006","Alcohol"
"139","Maryland",55,"2006","Alcohol"
"140","New York",55,"2006","Alcohol"
"141","Texas",53,"2006","Alcohol"
"142","California",52,"2006","Alcohol"
"143","Alabama",52,"2006","Alcohol"
"144","New Jersey",52,"2006","Alcohol"
"145","Missouri",51,"2006","Alcohol"
"146","Georgia",50,"2006","Alcohol"
"147","Nevada",50,"2006","Alcohol"
"148","Florida",50,"2006","Alcohol"
"149","Utah",50,"2006","Alcohol"
"150","Hawaii",49,"2006","Alcohol"
"151","Tennessee",49,"2006","Alcohol"
"152","District of Columbia",47,"2006","Alcohol"
"153","Arizona",45,"2006","Alcohol"
"154","North Dakota",100,"2007","Alcohol"
"155","Delaware",86,"2007","Alcohol"
"156","West Virginia",85,"2007","Alcohol"
"157","South Dakota",85,"2007","Alcohol"
"158","Pennsylvania",85,"2007","Alcohol"
"159","Vermont",82,"2007","Alcohol"
"160","New Mexico",81,"2007","Alcohol"
"161","Montana",80,"2007","Alcohol"
"162","Rhode Island",78,"2007","Alcohol"
"163","Alaska",78,"2007","Alcohol"
"164","Wisconsin",77,"2007","Alcohol"
"165","Indiana",76,"2007","Alcohol"
"166","New Hampshire",76,"2007","Alcohol"
"167","Maine",75,"2007","Alcohol"
"168","Michigan",75,"2007","Alcohol"
"169","Iowa",75,"2007","Alcohol"
"170","Wyoming",75,"2007","Alcohol"
"171","Kentucky",72,"2007","Alcohol"
"172","Nebraska",72,"2007","Alcohol"
"173","Maryland",71,"2007","Alcohol"
"174","Washington",70,"2007","Alcohol"
"175","Idaho",70,"2007","Alcohol"
"176","Massachusetts",70,"2007","Alcohol"
"177","Minnesota",69,"2007","Alcohol"
"178","Ohio",67,"2007","Alcohol"
"179","Missouri",67,"2007","Alcohol"
"180","Mississippi",67,"2007","Alcohol"
"181","North Carolina",65,"2007","Alcohol"
"182","Oregon",65,"2007","Alcohol"
"183","Florida",64,"2007","Alcohol"
"184","Colorado",63,"2007","Alcohol"
"185","Illinois",63,"2007","Alcohol"
"186","Connecticut",63,"2007","Alcohol"
"187","Kansas",63,"2007","Alcohol"
"188","California",62,"2007","Alcohol"
"189","Oklahoma",60,"2007","Alcohol"
"190","New York",60,"2007","Alcohol"
"191","Virginia",60,"2007","Alcohol"
"192","South Carolina",60,"2007","Alcohol"
"193","Arkansas",60,"2007","Alcohol"
"194","Texas",59,"2007","Alcohol"
"195","Arizona",59,"2007","Alcohol"
"196","Alabama",58,"2007","Alcohol"
"197","New Jersey",58,"2007","Alcohol"
"198","Louisiana",58,"2007","Alcohol"
"199","Nevada",58,"2007","Alcohol"
"200","Hawaii",57,"2007","Alcohol"
"201","District of Columbia",56,"2007","Alcohol"
"202","Georgia",55,"2007","Alcohol"
"203","Utah",54,"2007","Alcohol"
"204","Tennessee",53,"2007","Alcohol"
"205","North Dakota",100,"2008","Alcohol"
"206","South Dakota",95,"2008","Alcohol"
"207","Delaware",93,"2008","Alcohol"
"208","Alaska",92,"2008","Alcohol"
"209","Vermont",90,"2008","Alcohol"
"210","Montana",88,"2008","Alcohol"
"211","New Mexico",88,"2008","Alcohol"
"212","Maine",87,"2008","Alcohol"
"213","Indiana",86,"2008","Alcohol"
"214","New Hampshire",85,"2008","Alcohol"
"215","Wyoming",85,"2008","Alcohol"
"216","Pennsylvania",85,"2008","Alcohol"
"217","Rhode Island",84,"2008","Alcohol"
"218","Wisconsin",81,"2008","Alcohol"
"219","Idaho",80,"2008","Alcohol"
"220","West Virginia",80,"2008","Alcohol"
"221","Connecticut",79,"2008","Alcohol"
"222","Minnesota",79,"2008","Alcohol"
"223","Michigan",78,"2008","Alcohol"
"224","Oregon",78,"2008","Alcohol"
"225","Iowa",77,"2008","Alcohol"
"226","Massachusetts",75,"2008","Alcohol"
"227","Nebraska",73,"2008","Alcohol"
"228","Washington",73,"2008","Alcohol"
"229","Missouri",73,"2008","Alcohol"
"230","Colorado",73,"2008","Alcohol"
"231","Ohio",73,"2008","Alcohol"
"232","Maryland",72,"2008","Alcohol"
"233","Kentucky",72,"2008","Alcohol"
"234","North Carolina",71,"2008","Alcohol"
"235","Mississippi",70,"2008","Alcohol"
"236","Illinois",69,"2008","Alcohol"
"237","Georgia",69,"2008","Alcohol"
"238","District of Columbia",67,"2008","Alcohol"
"239","Texas",67,"2008","Alcohol"
"240","Arkansas",66,"2008","Alcohol"
"241","New Jersey",66,"2008","Alcohol"
"242","Nevada",66,"2008","Alcohol"
"243","Florida",65,"2008","Alcohol"
"244","Arizona",65,"2008","Alcohol"
"245","South Carolina",65,"2008","Alcohol"
"246","Hawaii",65,"2008","Alcohol"
"247","Kansas",64,"2008","Alcohol"
"248","Virginia",64,"2008","Alcohol"
"249","Louisiana",63,"2008","Alcohol"
"250","Alabama",63,"2008","Alcohol"
"251","California",62,"2008","Alcohol"
"252","New York",62,"2008","Alcohol"
"253","Oklahoma",62,"2008","Alcohol"
"254","Tennessee",58,"2008","Alcohol"
"255","Utah",55,"2008","Alcohol"
"256","Delaware",100,"2009","Alcohol"
"257","North Dakota",98,"2009","Alcohol"
"258","Vermont",97,"2009","Alcohol"
"259","Indiana",95,"2009","Alcohol"
"260","Alaska",92,"2009","Alcohol"
"261","Wyoming",91,"2009","Alcohol"
"262","New Hampshire",91,"2009","Alcohol"
"263","Pennsylvania",90,"2009","Alcohol"
"264","West Virginia",89,"2009","Alcohol"
"265","South Dakota",89,"2009","Alcohol"
"266","Maine",88,"2009","Alcohol"
"267","Idaho",88,"2009","Alcohol"
"268","Wisconsin",87,"2009","Alcohol"
"269","Connecticut",87,"2009","Alcohol"
"270","Washington",87,"2009","Alcohol"
"271","Montana",86,"2009","Alcohol"
"272","New Mexico",86,"2009","Alcohol"
"273","Maryland",85,"2009","Alcohol"
"274","Oregon",85,"2009","Alcohol"
"275","Rhode Island",85,"2009","Alcohol"
"276","Massachusetts",83,"2009","Alcohol"
"277","Iowa",82,"2009","Alcohol"
"278","Michigan",81,"2009","Alcohol"
"279","New Jersey",80,"2009","Alcohol"
"280","Ohio",80,"2009","Alcohol"
"281","Minnesota",79,"2009","Alcohol"
"282","Nebraska",78,"2009","Alcohol"
"283","New York",78,"2009","Alcohol"
"284","Missouri",78,"2009","Alcohol"
"285","Arkansas",77,"2009","Alcohol"
"286","North Carolina",77,"2009","Alcohol"
"287","Illinois",77,"2009","Alcohol"
"288","Mississippi",76,"2009","Alcohol"
"289","Kentucky",76,"2009","Alcohol"
"290","Arizona",75,"2009","Alcohol"
"291","Florida",75,"2009","Alcohol"
"292","Colorado",75,"2009","Alcohol"
"293","Georgia",73,"2009","Alcohol"
"294","Hawaii",73,"2009","Alcohol"
"295","Kansas",71,"2009","Alcohol"
"296","District of Columbia",70,"2009","Alcohol"
"297","South Carolina",70,"2009","Alcohol"
"298","Louisiana",67,"2009","Alcohol"
"299","California",65,"2009","Alcohol"
"300","Oklahoma",65,"2009","Alcohol"
"301","Alabama",63,"2009","Alcohol"
"302","Texas",63,"2009","Alcohol"
"303","Nevada",63,"2009","Alcohol"
"304","Utah",60,"2009","Alcohol"
"305","Virginia",60,"2009","Alcohol"
"306","Tennessee",58,"2009","Alcohol"
"307","South Dakota",100,"2010","Alcohol"
"308","Delaware",99,"2010","Alcohol"
"309","North Dakota",96,"2010","Alcohol"
"310","Indiana",96,"2010","Alcohol"
"311","Rhode Island",94,"2010","Alcohol"
"312","Pennsylvania",94,"2010","Alcohol"
"313","Alaska",92,"2010","Alcohol"
"314","Washington",92,"2010","Alcohol"
"315","Wyoming",91,"2010","Alcohol"
"316","Massachusetts",91,"2010","Alcohol"
"317","New Mexico",90,"2010","Alcohol"
"318","Connecticut",90,"2010","Alcohol"
"319","Oregon",90,"2010","Alcohol"
"320","Montana",89,"2010","Alcohol"
"321","West Virginia",89,"2010","Alcohol"
"322","Wisconsin",89,"2010","Alcohol"
"323","Vermont",87,"2010","Alcohol"
"324","New Hampshire",87,"2010","Alcohol"
"325","Maine",86,"2010","Alcohol"
"326","Iowa",84,"2010","Alcohol"
"327","Minnesota",83,"2010","Alcohol"
"328","Michigan",83,"2010","Alcohol"
"329","Missouri",82,"2010","Alcohol"
"330","Colorado",82,"2010","Alcohol"
"331","Kentucky",82,"2010","Alcohol"
"332","Maryland",82,"2010","Alcohol"
"333","Idaho",81,"2010","Alcohol"
"334","North Carolina",81,"2010","Alcohol"
"335","Ohio",80,"2010","Alcohol"
"336","Arizona",80,"2010","Alcohol"
"337","Nebraska",77,"2010","Alcohol"
"338","South Carolina",76,"2010","Alcohol"
"339","New York",76,"2010","Alcohol"
"340","New Jersey",76,"2010","Alcohol"
"341","Illinois",74,"2010","Alcohol"
"342","Arkansas",74,"2010","Alcohol"
"343","Mississippi",74,"2010","Alcohol"
"344","Florida",73,"2010","Alcohol"
"345","District of Columbia",73,"2010","Alcohol"
"346","Kansas",71,"2010","Alcohol"
"347","Tennessee",70,"2010","Alcohol"
"348","Georgia",70,"2010","Alcohol"
"349","Louisiana",69,"2010","Alcohol"
"350","Hawaii",68,"2010","Alcohol"
"351","Texas",68,"2010","Alcohol"
"352","Alabama",66,"2010","Alcohol"
"353","Nevada",65,"2010","Alcohol"
"354","Oklahoma",64,"2010","Alcohol"
"355","California",61,"2010","Alcohol"
"356","Utah",57,"2010","Alcohol"
"357","Virginia",55,"2010","Alcohol"
"358","North Dakota",100,"2011","Alcohol"
"359","Pennsylvania",99,"2011","Alcohol"
"360","District of Columbia",97,"2011","Alcohol"
"361","Vermont",95,"2011","Alcohol"
"362","Nebraska",95,"2011","Alcohol"
"363","South Dakota",95,"2011","Alcohol"
"364","New Hampshire",94,"2011","Alcohol"
"365","Washington",94,"2011","Alcohol"
"366","Minnesota",94,"2011","Alcohol"
"367","Massachusetts",94,"2011","Alcohol"
"368","Georgia",92,"2011","Alcohol"
"369","Oregon",91,"2011","Alcohol"
"370","Kentucky",90,"2011","Alcohol"
"371","Indiana",90,"2011","Alcohol"
"372","Wisconsin",89,"2011","Alcohol"
"373","Illinois",89,"2011","Alcohol"
"374","Colorado",89,"2011","Alcohol"
"375","Montana",89,"2011","Alcohol"
"376","Maryland",87,"2011","Alcohol"
"377","Ohio",87,"2011","Alcohol"
"378","Alaska",86,"2011","Alcohol"
"379","Connecticut",86,"2011","Alcohol"
"380","Florida",86,"2011","Alcohol"
"381","Michigan",86,"2011","Alcohol"
"382","Delaware",85,"2011","Alcohol"
"383","New York",85,"2011","Alcohol"
"384","Iowa",85,"2011","Alcohol"
"385","Kansas",85,"2011","Alcohol"
"386","Missouri",84,"2011","Alcohol"
"387","New Mexico",84,"2011","Alcohol"
"388","California",83,"2011","Alcohol"
"389","Wyoming",82,"2011","Alcohol"
"390","North Carolina",82,"2011","Alcohol"
"391","Texas",81,"2011","Alcohol"
"392","Rhode Island",81,"2011","Alcohol"
"393","Virginia",80,"2011","Alcohol"
"394","Arizona",78,"2011","Alcohol"
"395","New Jersey",78,"2011","Alcohol"
"396","Maine",78,"2011","Alcohol"
"397","West Virginia",78,"2011","Alcohol"
"398","South Carolina",77,"2011","Alcohol"
"399","Louisiana",75,"2011","Alcohol"
"400","Oklahoma",75,"2011","Alcohol"
"401","Tennessee",74,"2011","Alcohol"
"402","Alabama",74,"2011","Alcohol"
"403","Nevada",73,"2011","Alcohol"
"404","Idaho",71,"2011","Alcohol"
"405","Arkansas",71,"2011","Alcohol"
"406","Utah",71,"2011","Alcohol"
"407","Mississippi",66,"2011","Alcohol"
"408","Hawaii",65,"2011","Alcohol"
"409","Massachusetts",100,"2012","Alcohol"
"410","Pennsylvania",97,"2012","Alcohol"
"411","New Hampshire",96,"2012","Alcohol"
"412","District of Columbia",94,"2012","Alcohol"
"413","Washington",94,"2012","Alcohol"
"414","New Mexico",94,"2012","Alcohol"
"415","Oregon",93,"2012","Alcohol"
"416","Maine",92,"2012","Alcohol"
"417","Colorado",92,"2012","Alcohol"
"418","Louisiana",92,"2012","Alcohol"
"419","Illinois",91,"2012","Alcohol"
"420","Nebraska",91,"2012","Alcohol"
"421","Minnesota",90,"2012","Alcohol"
"422","Wyoming",90,"2012","Alcohol"
"423","Ohio",90,"2012","Alcohol"
"424","North Dakota",90,"2012","Alcohol"
"425","Vermont",89,"2012","Alcohol"
"426","South Dakota",88,"2012","Alcohol"
"427","Indiana",88,"2012","Alcohol"
"428","Maryland",88,"2012","Alcohol"
"429","Alaska",88,"2012","Alcohol"
"430","Connecticut",88,"2012","Alcohol"
"431","Arizona",86,"2012","Alcohol"
"432","Montana",86,"2012","Alcohol"
"433","Georgia",86,"2012","Alcohol"
"434","Kentucky",85,"2012","Alcohol"
"435","Wisconsin",85,"2012","Alcohol"
"436","Michigan",84,"2012","Alcohol"
"437","Missouri",84,"2012","Alcohol"
"438","Rhode Island",83,"2012","Alcohol"
"439","Florida",83,"2012","Alcohol"
"440","Idaho",82,"2012","Alcohol"
"441","Nevada",82,"2012","Alcohol"
"442","Iowa",82,"2012","Alcohol"
"443","Delaware",81,"2012","Alcohol"
"444","North Carolina",80,"2012","Alcohol"
"445","Virginia",80,"2012","Alcohol"
"446","Oklahoma",80,"2012","Alcohol"
"447","Hawaii",80,"2012","Alcohol"
"448","Kansas",80,"2012","Alcohol"
"449","South Carolina",79,"2012","Alcohol"
"450","Texas",78,"2012","Alcohol"
"451","Alabama",78,"2012","Alcohol"
"452","New York",78,"2012","Alcohol"
"453","Tennessee",77,"2012","Alcohol"
"454","California",77,"2012","Alcohol"
"455","West Virginia",77,"2012","Alcohol"
"456","Arkansas",75,"2012","Alcohol"
"457","New Jersey",75,"2012","Alcohol"
"458","Mississippi",74,"2012","Alcohol"
"459","Utah",63,"2012","Alcohol"
"460","Pennsylvania",100,"2013","Alcohol"
"461","Massachusetts",97,"2013","Alcohol"
"462","Missouri",92,"2013","Alcohol"
"463","New Mexico",92,"2013","Alcohol"
"464","New Hampshire",91,"2013","Alcohol"
"465","Washington",91,"2013","Alcohol"
"466","Minnesota",90,"2013","Alcohol"
"467","Indiana",87,"2013","Alcohol"
"468","Michigan",87,"2013","Alcohol"
"469","Kentucky",87,"2013","Alcohol"
"470","Ohio",86,"2013","Alcohol"
"471","Illinois",86,"2013","Alcohol"
"472","Nebraska",86,"2013","Alcohol"
"473","Maine",86,"2013","Alcohol"
"474","Florida",85,"2013","Alcohol"
"475","Georgia",85,"2013","Alcohol"
"476","Alaska",84,"2013","Alcohol"
"477","West Virginia",84,"2013","Alcohol"
"478","Colorado",83,"2013","Alcohol"
"479","District of Columbia",83,"2013","Alcohol"
"480","Arkansas",83,"2013","Alcohol"
"481","Louisiana",82,"2013","Alcohol"
"482","Connecticut",82,"2013","Alcohol"
"483","Wisconsin",82,"2013","Alcohol"
"484","Virginia",81,"2013","Alcohol"
"485","North Dakota",81,"2013","Alcohol"
"486","Maryland",80,"2013","Alcohol"
"487","Iowa",80,"2013","Alcohol"
"488","Vermont",80,"2013","Alcohol"
"489","Montana",80,"2013","Alcohol"
"490","New York",79,"2013","Alcohol"
"491","Nevada",79,"2013","Alcohol"
"492","California",79,"2013","Alcohol"
"493","Oklahoma",79,"2013","Alcohol"
"494","Delaware",78,"2013","Alcohol"
"495","South Dakota",78,"2013","Alcohol"
"496","Idaho",78,"2013","Alcohol"
"497","Wyoming",78,"2013","Alcohol"
"498","Tennessee",77,"2013","Alcohol"
"499","Rhode Island",76,"2013","Alcohol"
"500","North Carolina",76,"2013","Alcohol"
"501","South Carolina",76,"2013","Alcohol"
"502","Arizona",75,"2013","Alcohol"
"503","Alabama",75,"2013","Alcohol"
"504","Kansas",75,"2013","Alcohol"
"505","Hawaii",74,"2013","Alcohol"
"506","Mississippi",74,"2013","Alcohol"
"507","New Jersey",74,"2013","Alcohol"
"508","Texas",70,"2013","Alcohol"
"509","Utah",69,"2013","Alcohol"
"510","Oregon",62,"2013","Alcohol"
"511","New Hampshire",100,"2014","Alcohol"
"512","Maine",97,"2014","Alcohol"
"513","Pennsylvania",95,"2014","Alcohol"
"514","Massachusetts",95,"2014","Alcohol"
"515","Colorado",95,"2014","Alcohol"
"516","New Mexico",94,"2014","Alcohol"
"517","Minnesota",93,"2014","Alcohol"
"518","Oklahoma",92,"2014","Alcohol"
"519","Nebraska",91,"2014","Alcohol"
"520","District of Columbia",91,"2014","Alcohol"
"521","Alaska",91,"2014","Alcohol"
"522","Connecticut",91,"2014","Alcohol"
"523","Michigan",91,"2014","Alcohol"
"524","Wisconsin",91,"2014","Alcohol"
"525","Washington",90,"2014","Alcohol"
"526","Nevada",90,"2014","Alcohol"
"527","Rhode Island",90,"2014","Alcohol"
"528","Hawaii",89,"2014","Alcohol"
"529","Florida",89,"2014","Alcohol"
"530","Tennessee",88,"2014","Alcohol"
"531","Ohio",88,"2014","Alcohol"
"532","Indiana",88,"2014","Alcohol"
"533","North Dakota",88,"2014","Alcohol"
"534","Kentucky",88,"2014","Alcohol"
"535","Iowa",86,"2014","Alcohol"
"536","West Virginia",86,"2014","Alcohol"
"537","Wyoming",86,"2014","Alcohol"
"538","Maryland",86,"2014","Alcohol"
"539","Missouri",86,"2014","Alcohol"
"540","South Dakota",84,"2014","Alcohol"
"541","Georgia",84,"2014","Alcohol"
"542","Illinois",84,"2014","Alcohol"
"543","Idaho",84,"2014","Alcohol"
"544","Montana",83,"2014","Alcohol"
"545","Louisiana",82,"2014","Alcohol"
"546","Arkansas",82,"2014","Alcohol"
"547","Alabama",82,"2014","Alcohol"
"548","Arizona",82,"2014","Alcohol"
"549","Vermont",82,"2014","Alcohol"
"550","South Carolina",82,"2014","Alcohol"
"551","Kansas",81,"2014","Alcohol"
"552","North Carolina",80,"2014","Alcohol"
"553","Texas",80,"2014","Alcohol"
"554","California",80,"2014","Alcohol"
"555","New York",78,"2014","Alcohol"
"556","Delaware",78,"2014","Alcohol"
"557","New Jersey",77,"2014","Alcohol"
"558","Mississippi",77,"2014","Alcohol"
"559","Utah",71,"2014","Alcohol"
"560","Virginia",65,"2014","Alcohol"
"561","Oregon",57,"2014","Alcohol"
"562","Hawaii",100,"2015","Alcohol"
"563","New Hampshire",99,"2015","Alcohol"
"564","Louisiana",99,"2015","Alcohol"
"565","New Mexico",97,"2015","Alcohol"
"566","Indiana",97,"2015","Alcohol"
"567","District of Columbia",97,"2015","Alcohol"
"568","Connecticut",96,"2015","Alcohol"
"569","Michigan",96,"2015","Alcohol"
"570","Kentucky",95,"2015","Alcohol"
"571","Massachusetts",95,"2015","Alcohol"
"572","West Virginia",95,"2015","Alcohol"
"573","Iowa",94,"2015","Alcohol"
"574","Wisconsin",94,"2015","Alcohol"
"575","Nebraska",93,"2015","Alcohol"
"576","Oklahoma",92,"2015","Alcohol"
"577","Colorado",92,"2015","Alcohol"
"578","Maine",92,"2015","Alcohol"
"579","North Dakota",92,"2015","Alcohol"
"580","Alaska",92,"2015","Alcohol"
"581","Washington",92,"2015","Alcohol"
"582","Missouri",92,"2015","Alcohol"
"583","Pennsylvania",91,"2015","Alcohol"
"584","Montana",90,"2015","Alcohol"
"585","Minnesota",90,"2015","Alcohol"
"586","Maryland",90,"2015","Alcohol"
"587","Rhode Island",89,"2015","Alcohol"
"588","South Carolina",89,"2015","Alcohol"
"589","Ohio",88,"2015","Alcohol"
"590","Wyoming",87,"2015","Alcohol"
"591","Illinois",87,"2015","Alcohol"
"592","California",86,"2015","Alcohol"
"593","Nevada",86,"2015","Alcohol"
"594","Tennessee",86,"2015","Alcohol"
"595","Texas",86,"2015","Alcohol"
"596","North Carolina",86,"2015","Alcohol"
"597","Idaho",86,"2015","Alcohol"
"598","Vermont",84,"2015","Alcohol"
"599","Arkansas",84,"2015","Alcohol"
"600","Georgia",83,"2015","Alcohol"
"601","Florida",83,"2015","Alcohol"
"602","Delaware",82,"2015","Alcohol"
"603","South Dakota",82,"2015","Alcohol"
"604","Arizona",82,"2015","Alcohol"
"605","New York",81,"2015","Alcohol"
"606","New Jersey",80,"2015","Alcohol"
"607","Kansas",80,"2015","Alcohol"
"608","Alabama",79,"2015","Alcohol"
"609","Mississippi",77,"2015","Alcohol"
"610","Utah",72,"2015","Alcohol"
"611","Oregon",71,"2015","Alcohol"
"612","Virginia",57,"2015","Alcohol"
"613","Montana",100,"2016","Alcohol"
"614","Alaska",98,"2016","Alcohol"
"615","New Mexico",96,"2016","Alcohol"
"616","Maine",95,"2016","Alcohol"
"617","Washington",95,"2016","Alcohol"
"618","Connecticut",91,"2016","Alcohol"
"619","New Hampshire",91,"2016","Alcohol"
"620","Colorado",91,"2016","Alcohol"
"621","Massachusetts",91,"2016","Alcohol"
"622","Ohio",90,"2016","Alcohol"
"623","Indiana",89,"2016","Alcohol"
"624","Minnesota",88,"2016","Alcohol"
"625","Pennsylvania",88,"2016","Alcohol"
"626","Kentucky",87,"2016","Alcohol"
"627","Illinois",86,"2016","Alcohol"
"628","Michigan",86,"2016","Alcohol"
"629","North Dakota",85,"2016","Alcohol"
"630","Wisconsin",85,"2016","Alcohol"
"631","District of Columbia",84,"2016","Alcohol"
"632","Nebraska",84,"2016","Alcohol"
"633","Vermont",84,"2016","Alcohol"
"634","Idaho",84,"2016","Alcohol"
"635","Rhode Island",83,"2016","Alcohol"
"636","South Dakota",83,"2016","Alcohol"
"637","Nevada",83,"2016","Alcohol"
"638","Delaware",82,"2016","Alcohol"
"639","Oregon",82,"2016","Alcohol"
"640","Georgia",82,"2016","Alcohol"
"641","Virginia",81,"2016","Alcohol"
"642","Missouri",81,"2016","Alcohol"
"643","Iowa",80,"2016","Alcohol"
"644","West Virginia",80,"2016","Alcohol"
"645","Arizona",80,"2016","Alcohol"
"646","California",80,"2016","Alcohol"
"647","Hawaii",79,"2016","Alcohol"
"648","New York",79,"2016","Alcohol"
"649","South Carolina",79,"2016","Alcohol"
"650","North Carolina",79,"2016","Alcohol"
"651","Tennessee",78,"2016","Alcohol"
